country,wave,idno,adm2_name,chirps_month,source_file,source_sha256,mask_pixel_count,valid_pixel_count,mean_precip_mm,min_precip_mm,max_precip_mm,extraction_status
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Ntcheu,2003-05,chirps-v2.0.2003.05.tif.gz,ecb35cb8065bdeea27d015e2d858e7e4c0e050d09649af0fd6788c94fee83721,110,110,7.229430,2.081849,23.111557,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Ntchisi,2003-05,chirps-v2.0.2003.05.tif.gz,ecb35cb8065bdeea27d015e2d858e7e4c0e050d09649af0fd6788c94fee83721,58,58,4.942099,0.704938,9.956904,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Phalombe,2003-05,chirps-v2.0.2003.05.tif.gz,ecb35cb8065bdeea27d015e2d858e7e4c0e050d09649af0fd6788c94fee83721,49,49,17.442392,5.610440,49.638866,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Rumphi,2003-05,chirps-v2.0.2003.05.tif.gz,ecb35cb8065bdeea27d015e2d858e7e4c0e050d09649af0fd6788c94fee83721,155,155,29.573671,8.341986,91.422775,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Salima,2003-05,chirps-v2.0.2003.05.tif.gz,ecb35cb8065bdeea27d015e2d858e7e4c0e050d09649af0fd6788c94fee83721,71,71,5.644042,2.647717,9.310092,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Thyolo,2003-05,chirps-v2.0.2003.05.tif.gz,ecb35cb8065bdeea27d015e2d858e7e4c0e050d09649af0fd6788c94fee83721,57,57,28.194935,16.580830,49.152081,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Zomba,2003-05,chirps-v2.0.2003.05.tif.gz,ecb35cb8065bdeea27d015e2d858e7e4c0e050d09649af0fd6788c94fee83721,106,106,12.378012,0.932926,30.032541,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Balaka,2003-06,chirps-v2.0.2003.06.tif.gz,3b1520f7670de0fea20b61b95ea381fd369dc468fc20025f626e6c642d26a3ce,73,73,0.822391,0.313836,2.332676,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Blantyre,2003-06,chirps-v2.0.2003.06.tif.gz,3b1520f7670de0fea20b61b95ea381fd369dc468fc20025f626e6c642d26a3ce,65,65,3.379123,0.543120,10.418371,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Chikwawa,2003-06,chirps-v2.0.2003.06.tif.gz,3b1520f7670de0fea20b61b95ea381fd369dc468fc20025f626e6c642d26a3ce,168,168,10.754176,2.674388,34.539001,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Chiradzulu,2003-06,chirps-v2.0.2003.06.tif.gz,3b1520f7670de0fea20b61b95ea381fd369dc468fc20025f626e6c642d26a3ce,26,26,8.791377,3.738093,14.044021,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Chitipa,2003-06,chirps-v2.0.2003.06.tif.gz,3b1520f7670de0fea20b61b95ea381fd369dc468fc20025f626e6c642d26a3ce,139,139,2.253832,0.085293,10.881487,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Dedza,2003-06,chirps-v2.0.2003.06.tif.gz,3b1520f7670de0fea20b61b95ea381fd369dc468fc20025f626e6c642d26a3ce,128,128,2.591319,0.271711,6.222499,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Dowa,2003-06,chirps-v2.0.2003.06.tif.gz,3b1520f7670de0fea20b61b95ea381fd369dc468fc20025f626e6c642d26a3ce,101,101,2.442902,1.114471,4.015179,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Karonga,2003-06,chirps-v2.0.2003.06.tif.gz,3b1520f7670de0fea20b61b95ea381fd369dc468fc20025f626e6c642d26a3ce,109,109,1.345188,0.203177,7.264067,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Kasungu,2003-06,chirps-v2.0.2003.06.tif.gz,3b1520f7670de0fea20b61b95ea381fd369dc468fc20025f626e6c642d26a3ce,266,266,2.103940,1.149285,4.238674,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Likoma,2003-06,chirps-v2.0.2003.06.tif.gz,3b1520f7670de0fea20b61b95ea381fd369dc468fc20025f626e6c642d26a3ce,1,1,0.292594,0.292594,0.292594,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Lilongwe,2003-06,chirps-v2.0.2003.06.tif.gz,3b1520f7670de0fea20b61b95ea381fd369dc468fc20025f626e6c642d26a3ce,209,209,1.880841,0.498944,4.826550,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Machinga,2003-06,chirps-v2.0.2003.06.tif.gz,3b1520f7670de0fea20b61b95ea381fd369dc468fc20025f626e6c642d26a3ce,129,129,6.344393,0.099917,23.366253,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Mangochi,2003-06,chirps-v2.0.2003.06.tif.gz,3b1520f7670de0fea20b61b95ea381fd369dc468fc20025f626e6c642d26a3ce,224,224,2.525824,0.000000,12.249140,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Mchinji,2003-06,chirps-v2.0.2003.06.tif.gz,3b1520f7670de0fea20b61b95ea381fd369dc468fc20025f626e6c642d26a3ce,104,104,2.083785,0.569122,3.935070,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Mulanje,2003-06,chirps-v2.0.2003.06.tif.gz,3b1520f7670de0fea20b61b95ea381fd369dc468fc20025f626e6c642d26a3ce,65,65,31.013584,7.128823,58.739529,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Mwanza,2003-06,chirps-v2.0.2003.06.tif.gz,3b1520f7670de0fea20b61b95ea381fd369dc468fc20025f626e6c642d26a3ce,24,24,8.958739,4.085833,13.609226,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Mzimba,2003-06,chirps-v2.0.2003.06.tif.gz,3b1520f7670de0fea20b61b95ea381fd369dc468fc20025f626e6c642d26a3ce,357,357,1.961681,0.356645,5.040357,pass
