model,fpl_col,post_col,outcome,coef,se_hc1,t_hc1,se_person_cluster,t_person_cluster,se_state_cluster,t_state_cluster,n_person_months,n_persons,n_person_clusters,n_state_clusters,weighted_mean
older_age50_64,monthly_fpl,post_year2021,direct_purchase,-0.000244043341850686,0.011544897539112982,-0.021138632112055654,0.023891740012311546,-0.010214548698626768,0.028046680393394155,-0.008701327159850461,83704,9391,9380,52,0.12483464364346245
older_age50_64,monthly_fpl,post_year2021,marketplace_flag,-0.006431255527598823,0.010104932370004328,-0.6364471618523131,0.020770587701987593,-0.30963281443323815,0.019892385812163703,-0.3233023724920049,83704,9391,9380,52,0.08836273010141238
older_age50_64,monthly_fpl,post_year2021,subsidized_private,-0.005481864580180129,0.008134687993928899,-0.6738875030328598,0.017000737159743026,-0.3224486402366678,0.013759883672801048,-0.39839468926732624,83704,9391,9380,52,0.050292254828712586
older_age50_64,monthly_fpl,post_year2021,market_or_subsidy,-0.0032930829385167115,0.011580966360568863,-0.28435303548839197,0.02398385310625196,-0.13730416559540598,0.027873871791518935,-0.1181422861935773,83704,9391,9380,52,0.12568122325256254
older_age50_64,monthly_fpl,post_year2021,public,-0.01253355027845282,0.00965687142884339,-1.2978893185858613,0.019492708524555636,-0.6429865948420599,0.023107438582451557,-0.5424032712985832,83704,9391,9380,52,0.08359565936673441
older_age50_64,monthly_fpl,post_year2021,medicaid,-0.01603862680960949,0.00878320207342534,-1.8260569067557184,0.017047093819035818,-0.9408422913528984,0.020473249663272502,-0.7833942863687929,83704,9391,9380,52,0.06463478898928364
younger_age26_49,monthly_fpl,post_year2021,uninsured,-0.03856180369296536,0.009270889006014447,-4.159450476426647,0.018502683916534233,-2.084119464339227,0.02369014892476115,-1.6277569134510683,132268,15063,15043,52,0.10968609984905431
younger_age26_49,monthly_fpl,post_year2021,any_coverage,0.03856180369195794,0.00927088900601439,4.159450476318009,0.018502683916534014,2.0841194642848047,0.0236901489247573,1.6277569134088083,132268,15063,15043,52,0.8903139001509457
younger_age26_49,monthly_fpl,post_year2021,private,0.03480929157791213,0.01112583173878764,3.128691175200644,0.02197072067265474,1.584349102450543,0.029807179082652235,1.1678156957218109,132268,15063,15043,52,0.8262080359870871
younger_age26_49,monthly_fpl,post_year2021,rpritype1_employer,0.04007127811979849,0.011839575418668527,3.3845198584245253,0.023679303633009977,1.692249009550154,0.03144092845631418,1.27449410965951,132268,15063,15043,52,0.6807862400691422
younger_age26_49,monthly_fpl,post_year2021,source_employer_related,0.02797448630654742,0.012029023442094527,2.3255824914808234,0.024091583628336098,1.1611725795245904,0.032805928170788375,0.852726560910322,132268,15063,15043,52,0.6663873751141391
younger_age26_49,monthly_fpl,post_year2021,source_current_employer,0.006789216242433227,0.012301588992860586,0.5518975025399931,0.024631949388103917,0.2756264287272408,0.03226187023160437,0.21044087629434374,132268,15063,15043,52,0.6464812134901784
younger_age26_49,monthly_fpl,post_year2021,source_former_employer,0.013155537898352207,0.0027829908504273426,4.727122224038971,0.0056452494097980815,2.3303731940556993,0.008170226075072212,1.6101804010650873,132268,15063,15043,52,0.011284930679573823
younger_age26_49,monthly_fpl,post_year2021,source_union,0.007440291012782402,0.0021343890457720264,3.4859113560017296,0.004434128388039323,1.6779602126208033,0.005308103067530553,1.4016854831426229,132268,15063,15043,52,0.00965399750197406
