reference_year,state,rating_areas_age40,rating_areas_age60,slcsp_state_mean_age40,slcsp_state_mean_age60,slcsp_state_median_age40,slcsp_state_median_age60,fpl_single,gross_burden_age60_at400fpl,gross_burden_age40_at400fpl,gross_burden_excess_age60_over_8p5,pre_2021_age60_excess_burden,high_pre_premium_burden
2019,IA,7,7,739.24,1569.8671428571429,723.9,1537.29,12490,0.3770697701017957,0.17755964771817456,0.2920697701017957,0.2897810668854524,1
2019,IL,13,13,533.2715384615384,1132.47,545.93,1159.35,12490,0.2720104083266613,0.128087639342243,0.18701040832666127,0.18891628633995464,1
2019,IN,17,17,323.1847058823529,686.3252941176471,328.32,697.23,12490,0.16484995054867424,0.07762643055620966,0.07984995054867423,0.0925341107508569,0
2019,KS,7,7,535.9557142857143,1138.1757142857143,529.41,1124.28,12490,0.27338087612947504,0.12873235731442298,0.18838087612947502,0.1768675701832235,0
2019,KY,8,8,459.5375,975.88625,427.53,907.92,12490,0.23440022017614093,0.1103773018414732,0.1494002201761409,0.14622335878675413,0
2019,LA,8,8,477.025,1013.0275,473.275,1005.06,12490,0.24332125700560447,0.11457766212970374,0.15832125700560445,0.1673643045439331,0
2019,ME,4,4,561.4025,1192.21,522.185,1108.9250000000002,12490,0.28635948759007207,0.13484447558046436,0.20135948759007205,0.20630075727110633,1
2019,MI,16,16,412.94875,876.953125,412.37,875.72,12490,0.21063725980784628,0.09918704963971177,0.1256372598078463,0.12112297059750955,0
2019,MO,10,10,553.143,1174.675,530.02,1125.57,12490,0.2821477181745396,0.13286060848678943,0.19714771817453958,0.1996475182231173,1
2019,MS,6,6,532.5,1130.8366666666668,537.095,1140.6,12490,0.2716180944755805,0.12790232185748598,0.18661809447558048,0.17758080447304966,0
2019,MT,4,4,548.545,1164.6,547.935,1163.605,12490,0.2797277822257806,0.13175620496397117,0.19472778222578058,0.17683378914531542,0
2019,NC,16,16,643.88375,1367.37,688.245,1461.5700000000002,12490,0.32843154523618895,0.15465582465972777,0.24343154523618893,0.2294809392563836,1
2019,ND,4,4,408.775,868.0825,387.9,823.75,12490,0.20850660528422738,0.09818454763811048,0.12350660528422737,0.09917278735374101,0
2019,NE,4,4,839.085,1781.9099999999999,852.495,1810.3899999999999,12490,0.4280008006405124,0.20154163330664532,0.34300080064051236,0.31179552797547305,1
