download_priority_order,country,wave,idno,source_relative_path,source_file_name,source_suffix,source_bytes,target_relative_path,target_exists_before,target_bytes_before,file_staging_action,copy_error,data_write_gate_status,modeling_gate_status
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,DATA/Post Planting Wave 2/Community/sectc4b_plantingw2.dta,sectc4b_plantingw2.dta,.dta,109595,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/DATA/Post Planting Wave 2/Community/sectc4b_plantingw2.dta,0,0,copied,,blocked_no_data_write,blocked
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,DATA/Post Planting Wave 2/Community/sectc_plantingw2.dta,sectc_plantingw2.dta,.dta,29805,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/DATA/Post Planting Wave 2/Community/sectc_plantingw2.dta,0,0,copied,,blocked_no_data_write,blocked
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,food_conv_w2ph.dta,food_conv_w2ph.dta,.dta,11497,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/food_conv_w2ph.dta,0,0,copied,,blocked_no_data_write,blocked
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,food_conv_w2pp.dta,food_conv_w2pp.dta,.dta,10862,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/food_conv_w2pp.dta,0,0,copied,,blocked_no_data_write,blocked
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,hhchildren.dta,hhchildren.dta,.dta,7086,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/hhchildren.dta,0,0,copied,,blocked_no_data_write,blocked
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,HHTrack.dta,HHTrack.dta,.dta,288899,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/HHTrack.dta,0,0,copied,,blocked_no_data_write,blocked
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,NGA_HouseholdGeovars_Y2.dta,NGA_HouseholdGeovars_Y2.dta,.dta,792832,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/NGA_HouseholdGeovars_Y2.dta,0,0,copied,,blocked_no_data_write,blocked
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,NGA_PlotGeovariables_Y2.dta,NGA_PlotGeovariables_Y2.dta,.dta,187197,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/NGA_PlotGeovariables_Y2.dta,0,0,copied,,blocked_no_data_write,blocked
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,PTrack.dta,PTrack.dta,.dta,1294310,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/PTrack.dta,0,0,copied,,blocked_no_data_write,blocked
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,sect10_plantingw2.dta,sect10_plantingw2.dta,.dta,397135,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/sect10_plantingw2.dta,0,0,copied,,blocked_no_data_write,blocked
