download_priority_order,queue_role,country,wave,idno,survey_name,requirement,requirement_role,candidate_rank,file_name,variable_name,variable_label,match_score,checklist_ref,raw_package_status,archive_preflight_status,current_verification_status,fill_raw_file_used,fill_raw_variable_used,fill_variable_label_verified,fill_value_distribution_checked,fill_missing_codes_documented,fill_unit_recall_period_documented,fill_merge_key_or_level_verified,fill_skip_pattern_checked,fill_promote_variable,review_notes
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,Socio-Economic Panel Survey 2021-2022,health_need_and_access,access_outcome_gate,8,sect3_hh_w5.dta,s3q13,13. Main reason for [NAME] not consulting a healthcare provider,14,health_need_and_access,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,,,,,,,,,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,Socio-Economic Panel Survey 2021-2022,health_need_and_access,access_outcome_gate,9,sect3_hh_w5.dta,s3q18,18. What were the total cost of [NAME]'s health consultations in last 12 months?,14,health_need_and_access,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,,,,,,,,,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,Socio-Economic Panel Survey 2021-2022,health_need_and_access,access_outcome_gate,10,sect3_pp_w5.dta,s3q15_1,15. Who are other HH members consulted on [FIELD]?: HH ID 1,11,health_need_and_access,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,,,,,,,,,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,Socio-Economic Panel Survey 2021-2022,health_need_and_access,access_outcome_gate,11,sect3_pp_w5.dta,s3q15_2,15. Who are other HH members consulted on [FIELD]?: HH ID 2,11,health_need_and_access,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,,,,,,,,,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,Socio-Economic Panel Survey 2021-2022,health_need_and_access,access_outcome_gate,12,sect04_com_w5.dta,cs4q28,28. Distance to the nearest place where one can purchase common medicines,10,health_need_and_access,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,,,,,,,,,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,Socio-Economic Panel Survey 2021-2022,survey_timing,climate_timing_gate,1,sect_cover_pp_w5.dta,InterviewDate,20. Date of Interview,46,survey_timing,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,,,,,,,,,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,Socio-Economic Panel Survey 2021-2022,survey_timing,climate_timing_gate,2,sect_cover_ph_w5.dta,InterviewDate,20. Date of Interview,46,survey_timing,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,,,,,,,,,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,Socio-Economic Panel Survey 2021-2022,survey_timing,climate_timing_gate,3,sect_cover_ls_w5.dta,InterviewDate,20. Date of Interview,46,survey_timing,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,,,,,,,,,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,Socio-Economic Panel Survey 2021-2022,survey_timing,climate_timing_gate,4,sect12b1_hh_w5.dta,s12bq08a,8. When did [NFE] start operating? (MONTH),14,survey_timing,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,,,,,,,,,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,Socio-Economic Panel Survey 2021-2022,survey_timing,climate_timing_gate,5,sect12b1_hh_w5.dta,s12bq08b,8. When did [NFE] start operating? (YEAR),14,survey_timing,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,,,,,,,,,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,Socio-Economic Panel Survey 2021-2022,survey_timing,climate_timing_gate,6,eth_householdgeovariables_y5.dta,wetQ_avgstart,"Avg start of wettest quarter in dekads 1-36, where first dekad of year =1",14,survey_timing,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,,,,,,,,,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,Socio-Economic Panel Survey 2021-2022,survey_timing,climate_timing_gate,7,sect_cover_hh_w5.dta,saq19__Timestamp,GPS coordinates of the dwelling: Timestamp,12,survey_timing,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,,,,,,,,,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,Socio-Economic Panel Survey 2021-2022,survey_timing,climate_timing_gate,8,eth_plotgeovariables_y5.dta,wetQ_avgstart,"Avg start of wettest quarter in dekads 1-36, where first dekad of year =1",12,survey_timing,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,,,,,,,,,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,Socio-Economic Panel Survey 2021-2022,survey_timing,climate_timing_gate,9,sect7b_hh_w5.dta,item_cd_12months,Item Code (12 MONTHS),10,survey_timing,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,,,,,,,,,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,Socio-Economic Panel Survey 2021-2022,survey_timing,climate_timing_gate,10,sect7b_hh_w5.dta,s7q04,"4. In total, how much did your household spend on [ITEM] in the past 12 months?",10,survey_timing,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,,,,,,,,,,
